"game_title_name","game_title_game_age","game_title_kid_review_name","game_title_parent_review_name"
"","","","Gone are the days of Kratos over the top, cartoonish anger issues along with the gratuitous vulgarity and offputting nudity of past games.....And THAT is a very good thing. The action is more engaging, grounded and visceral than ever with a third person 'over the shoulder' camera angle. There is a more one on one approach to combat this time instead of mowing down hordes, ala Dynasty Warriors, with the enemy types being detailed and gritty, although repeats and repaints are frequent.
To equip for your questing, Kratos' armor &amp; weapons as well as his sons clothes and bow are upgradable along the journey. There are many moves and attacks to attain along the way with plenty of ways to dispatch enemies with multiple skill trees. Kratos axe reacts like Thors hammer from the Marvel franchise and returns to his hand when thrown with a single button press. Kratos also uses his bare hands and retractable shield for attacks and combos while Kratos son, Atreyu, fires sometimes by himself, but also on your command with the same onscreen reticle as your axe. Later on you obtain Kratos' traditional GoW weapon as well adding a ""fire element"" weapon to your Frost Axe, which later comes into play with elemental enemies. In battle, Atreyu will frequently yell out warnings to incoming attacks which is complimented by onscreen, directional reticles that turn color as enemies approach.
To tie it all together the story in surprisingly very well done, heartfelt and engaging which drives you to experience each step. I think the one thing I truly loved is the father, son dynamic. It is interesting, gritty and and seems to bring to life and encompass it's beautiful, yet often harsh surroundings. It truly feels like a expansive, very cinematic journey.
One ""gripe"" I had initially was that the controls cannot be customized. The right trigger buttons are the attack buttons and holding the left trigger gives you a reticle to throw and shoot with using those same action buttons. There is no ""jump"" button, but Kratos traverses with an action button which causes him to leap or climb when needed. There is also a dodge, a 2 stick button 'god rage' mode for overwhelming situations and a block, parry mechanic that is also used in Kratos' hand to hand combos. The fact that the game has a 4 tiered difficulty setting which you can change at any time is a nice and welcome touch making it accessible to everyone and challenging for those who want it.
To sum it up, the best description I've heard is that this game is ""Dark Souls would be if it was approachable and accessible"". The somewhat slower pace but more visceral execution of combat sets it apart from the series prior entries and Kratos' engagement strategies have a larger arsenal with a more thoughtful and gritty interaction that makes it feel all the more real and threatening. This is not a hyper paced hack and slash or DMC/Bayonetta style game, but if you enjoy those then there's a good chance you may enjoy this one as well, the change of pace might do you good. HOWEVER, be forewarned that bosses are repeated, especially in the later half with 9 of a very similar type are needed to be tracked down, each of which will test your knowledge of the game mechanics and ability to discern patterns, openings and tactics. It may become exhausting to many, it definitely did for me. I'm still not sure if I will get the time or motivation to actually wrap it up myself."
"","","","NOT AS BAD AS PREVIOUS GOD OF WARS. The violence is toned down considerably, some guts can still be seen if you do a glory kill, avoid those and you should be fine. The language is minimal, the only bad language is when you trade with brock who uses the f word sometimes. The story is great there is no sexual content, but Kratos does mistreat his child sometimes, not physically, but he just isn't a good dad. Kratos is a great role model, because he is trying to bury his wife and strengthen the bond with his kid, and he never kills if he doesn't have to"
"","","","Very good story and gameplay"
"","","","God of War takes a huge risk by completely reshaping the formula that has defined its past game. The result is emotionally compelling story about a father and son. Gameplay is as fluid as ever, even though its not as fast as previous games. Also l, unlike its previous games there is no sex and swearing is very limited. Suitable for teens."
"","","","This game has managed to turn an anti-hero into a (slightly) good role model for kids. Yes, there is combat in this game, and the protagonist almost always kills. However, the violence is toned down both because Kratos doesn't want to scare his kid and because the enemies are coloured blue or orange, which makes the deaths look cartoony.
The other positive is that the main character seeks to protect his son, and never picks a fight if he doesn't have to.
There is one very violent scene where the main character fights a dragon. However, players only fight the dragon to protect one of their friends in-game.
As for the actual quality of the game, this game is amazing and a must play if you can stomach some swearing and violence."
"","","","God of War is easily my and my son’s favourite game on the PlayStation 4. Graphically it is incredible, story and gameplay equally as good.
VIOLENCE: 8/10 Blood and gore, the most violent taking down a huge dragon with red blood and leaving a gaping hole in its face. Blood and gore is infrequent though, most violence is acted upon monsters, with non-red blood or no blood at all, however it does involve dismemberment of aforementioned monsters, but them being monsters and with the aforementioned blood description, it all looks very cartoony.
LANGUAGE: 7/10 Infrequent bad language but the word f**k is probably the most used across the game.
SEX: 3/10 One reference to it where the word f**k is used in a sexual context.
THERE ARE NO OTHER FORMS OF INAPPROPRIATE CONTENT"
"","","","This game is fine for mature 11+ year olds"
"","","","It's a fun game and I think it's a harmless with a bit of swearing but otherwise fine"
"","","","(MINOR SPOILERS) This is a fantastic game, and if you can, play it immediately. This is probably up there in my top ten games ever. So without further ado, let's jump into it!
Violence: Yes, just like the old games, it is very gory, but not unnecessary, as it has its purpose. Spoiler free examples include: Ripping a draugr's body in half (the blood is yellow), chopping up enemies with your axe, and beating people to near death.
Language: The language is very infrequent but includes: ""S--t"", ""C--k"", ""Ass"", and ""F--k"".
Drinking/Smoking: The only reason I include this is because a brief scene were Kratos (the protagonist) gives his son a jug of alcohol from Greece, to which the son spits out. Very heartwarming scene.
Overall: Fantastic game, I recommend to anyone."
"","","","Uhh yeah this game contains violence, but its not realistic at all... its more like cartoon violence, the atmosphere gives you a feeling of platform game for teens/adults, i would imagine the main audience for this is boys age of 12 to 19. There is a lot of battling and slashing and ripping your enemies, but it is not done in realistic manner at all... Only few enemies you fight resemble human.
The story is way overrated thought, its just mythology turned upside down, nordic/germanic gods are turned to villains and nordic/germanic villains are turned to good guys ( For example in this game the Aesir god Thor and Baldr are ""bad"" and the giant serpent Jordmungadr is ""good"" ) so basically it just gives your kids a twisted history lesson, kind of if you made a christian game and made Jesus the villain.
Oh and there is quite a bit of swearing, done by a specific dwarf ""Brock""
All in all, nothing that a 14 year old kid couldn't handle, they have seen A LOT worse in movies. I would rate it even lower, but i think it gives you wrong idea of nordic mythology, so i think you should be 14 to understand that it is just a game and not a lesson in nordic mythologies :)"
"","","","Uhh yeah this game contains violence, but its not realistic at all... its more like cartoon violence, the atmosphere gives you a feeling of platform game for teens/adults, i would imagine the main audience for this is boys age of 12 to 19. There is a lot of battling and slashing and ripping your enemies, but it is not done in realistic manner at all... Only few enemies you fight resemble human.
The story is way overrated thought, its just mythology turned upside down, nordic/germanic gods are turned to villains and nordic/germanic villains are turned to good guys ( For example in this game the Aesir god Thor and Baldr are ""bad"" and the giant serpent Jordmungadr is ""good"" ) so basically it just gives your kids a twisted history lesson, kind of if you made a christian game and made Jesus the villain.
Oh and there is quite a bit of swearing, done by a specific dwarf ""Brock""
All in all, nothing that a 14 year old kid couldn't handle, they have seen A LOT worse in movies. I would rate it even lower, but i think it gives you wrong idea of nordic mythology, so i think you should be 14 to understand that it is just a game and not a lesson in nordic mythologies :)"
"","","","The game does have killing but NEVER humans just monsters. As a die hard god of war lover, I can tell u this is good for ages 13+ because its not super violent as the other god of war games where all u do is kill people for vengeance and have sex with women for points. in this game (the latest god of war) there is no sex AT ALL, its not about killing people for hate, just monsters in order to finish kratos duty as a father to mentor his son into not being like his old self, and that's really it. The kills for monsters are NOT gory as people think, there is rarely any gore shown when u kill monsters and even when u do, its not extreme at all, its mild gore tv-ma level, this is nowhere near mortal kombat or bloodborne gore. There is no ripping hearts and heads off, u just kill monsters/creatures with axes and arrows. The game doesn't teach about war its just a father and son bonding moment for kratos with his kid."
"","","","for all ages, fantastic game with a different but still fantastic story line."
"","","","I was worried that this game would be sex infested such as other games like GTA which I would never let my son go near. However after my son persuaded me to buy this game for him I watched very closely and soon found out that there was no sex or anything vulgar scenes. Rather, the only reason this game is an 18 is purely down to two reasons. Firstly there is a lot of use of the ""f"" word and ""sh*t"" which are the only two vulgar words he used and next the violence. In the game he battles monsters and gods who do not resemble humans in any way to protect his son. He kills them with axes and with his fists in meelee combat and there is blood. However there is no more blood than would be in the game Bloodborne for example which is a 16. I understand that at some stage this game was originally a 16 but had moved to an 18 due to the repeated swearing which as a parent can accept that my children have sworn many times. Overall I think this game really is suitable from age 14 up and finally quick mention, you can turn the blood off in the settings."
"","","","I lbought this game for my two sons (12 and 14). One of them asked me for it as a birthday gift and I hoped that this would be a appropriate game. My sons really loved myths and the Percy Jackson series so I expected this to be ok for them. I decided to poke in and check the game out, just to make sure that it was ok. I recognized only little language (barely any at all) but, violence was a key factor. There wasn’t to bad of violence though because the blood was colored blue and orange which really changed things up. The main character though is really just fighting to protect his son that he really loved and your really on killing made up creatures. In the end, this game is great for people who will enjoy a story."
"","","","God of war 4 is a really good game,there isn't that much gore and little to no swearing,the game can be difficult at times but for the majority its fairly easy.Its really nice to watch the relationship between Kratos and atreus grow over time as well"
"","","","I typically wait until the end of the story and ask myself, “what did I learn?”. Never have I needed to think carefully from the very beginning of a story and think how this applies to me.
Yes, the combat is fluid and epic, with a need for careful planning on how to approach battles, but more importantly, for me, is the relationship between father and son.
Although I don’t agree with some of the ways Kratos (the main character) teaches his son, I can appreciate that he’s trying really hard. And I love that the story is surrounded by themes of learning self control, discipline, respect, and mentoring. These themes are rare in video games and creators executed them beautifully."
"Halo Infinite","age 13+","This game is outstanding it is perfect for 10+ this game is rated 16 in Europe it and rates 13+ is America which isn’t fair since this game only features minor blood and violence and pi*s great for children",""
"Halo Infinite","age 13+","Fun for the whole family!",""
"Halo Infinite","age 13+","This game is great for a teenager who wants to sharpen their decision-making skills, sharpen their reflexes and fine-tune their motor skills. The game controls takes getting used to and themes of friendship, heroism in the campaign make this a must-play!",""
"","","","This game is outstanding it is perfect for 10+ this game is rated 16 in Europe it and rates 13+ is America which isn’t fair since this game only features minor blood and violence and pi*s great for children"
"","","","Fun for the whole family!"
"","","","This game is great for a teenager who wants to sharpen their decision-making skills, sharpen their reflexes and fine-tune their motor skills. The game controls takes getting used to and themes of friendship, heroism in the campaign make this a must-play!"
"Battlefield 2042","age 15+","Battlefield 2042 (2021) follows a futuristic war on a verity of different vast landscapes, and throughout expect lots of shooting but little blood.
VIOLENCE: MILD
Throughout gameplay, expect constant gunfire and explosions with no injury detail and nearly unnoticeable, small spurts of blood worthy of a T rating. Players can use a wide arsenal of weapons such as pistol, shotguns, assault rifles, snipers and rocket launchers to take down enemies and capture points on the map. Like I said, killing soldiers results in a spray of blood, but this is rarely noticeable due to the amount of action happening onscreen.
The most violent feature in the game is takedowns, doing these results in the enemy getting stabbed in the chest, stomach and rarely the throat, one of them depicts the enemies throat getting slit. These are all very brief and non-graphic as none show any injury detail but just small spurts of blood.
This game possesses the mildest violence in the recent M rated Battlefield series, as none of the violence is that bloody and none of it contains any amount of detail, making the violence section mostly T rated.
LANGUAGE: MODERATE
During battles, soldiers will yell out words such as “f*ck”, “motherf*cker” and “sh*t” infrequently, and a lot of this language is hard to hear due to a he sound of gunfire and explosions.
Although the language is infrequent and appears uncommonly, turning off the volume of the game does not effect gameplay as there is no story or campaign.
OVERALL: 12+ for action violence and some strong language",""
"Battlefield 2042","age 15+","Battlefield 2042 seems like the black sheep of the Battlefield franchise, the normal battlefield game is realistic and somewhat violent. But this one seems like they toned down the violence on this one, yes there are guns but it’s nothing like Call Of Duty. I reckon this should be rated T since there is absolutely no gore and blood, it feels like a whole different game. Whilst it’s not violent that doesn’t mean it’s a good game, it’s halted by bugs which will be fixed but are still hard to ignore.",""
"","","","Battlefield 2042 (2021) follows a futuristic war on a verity of different vast landscapes, and throughout expect lots of shooting but little blood.
VIOLENCE: MILD
Throughout gameplay, expect constant gunfire and explosions with no injury detail and nearly unnoticeable, small spurts of blood worthy of a T rating. Players can use a wide arsenal of weapons such as pistol, shotguns, assault rifles, snipers and rocket launchers to take down enemies and capture points on the map. Like I said, killing soldiers results in a spray of blood, but this is rarely noticeable due to the amount of action happening onscreen.
The most violent feature in the game is takedowns, doing these results in the enemy getting stabbed in the chest, stomach and rarely the throat, one of them depicts the enemies throat getting slit. These are all very brief and non-graphic as none show any injury detail but just small spurts of blood.
This game possesses the mildest violence in the recent M rated Battlefield series, as none of the violence is that bloody and none of it contains any amount of detail, making the violence section mostly T rated.
LANGUAGE: MODERATE
During battles, soldiers will yell out words such as “f*ck”, “motherf*cker” and “sh*t” infrequently, and a lot of this language is hard to hear due to a he sound of gunfire and explosions.
Although the language is infrequent and appears uncommonly, turning off the volume of the game does not effect gameplay as there is no story or campaign.
OVERALL: 12+ for action violence and some strong language"
"","","","Battlefield 2042 seems like the black sheep of the Battlefield franchise, the normal battlefield game is realistic and somewhat violent. But this one seems like they toned down the violence on this one, yes there are guns but it’s nothing like Call Of Duty. I reckon this should be rated T since there is absolutely no gore and blood, it feels like a whole different game. Whilst it’s not violent that doesn’t mean it’s a good game, it’s halted by bugs which will be fixed but are still hard to ignore."
"Pokémon Brilliant Diamond/Shining Pearl","age 8+","First of all, I’m not a fan of little kids playing tons of video games. But if you’ll allow at least one, allow Pokémon. It’s one of the best, most fun; strategy, brain building, recourse management games around. I remember playing Pokémon as a kid myself and these games are still legendary. I work at a school and the kids love Pokémon. It promotes sportsman ship, positive messages, perseverance, dedication and friendship. I used to live it. Your kids will probably love it too.",""
"Pokémon Brilliant Diamond/Shining Pearl","age 8+","I remember playing this when it first came out in the early 2000s and finding it difficult as a smaller child (I was 7 or 8 I believe). Picking up this remastered version was a great blast from the past and they found several ways to make it easier for young children to play. There’s now XP sharing across the party, you can customize your character, and the menues are easier to navigate. I’d recommend this to any child 8+ as a nice, family friendly turn-based battle game.",""
"Pokémon Brilliant Diamond/Shining Pearl","age 8+","The games are very well made remakes despite what some critics and toxic Pokémon fans say. The games are mostly faithful remakes of the DS games Diamond and Pearl with some much needed improvements to the originals. They also fixed the EXP Share issue where you don’t get as much experience points if you are at a higher level so it’s not as easy to over level like the other Switch Pokémon games. They added a feature from the old DS games Heart Gold and Soul Silver where you can have your favorite Pokémon follow behind you. The Grand Underground fixed the issue of fire type Pokémon being scarce. Once you beat the game and have seen all of the Pokémon, there is a post game where you can battle the gym leaders at much higher levels. And once you capture Giratina and Heatran you can also battle the Pokémon League at very high levels. Champion Cynthia has a team of Pokémon that are all in their 80’s making her final team the strongest in the series and debunking the myth that the games are dumbed down and easy. There is also a way to get the original games music if you want to listen to the old DS music. And the games reward you for playing Let’s Go Pikachu or Eevee and also Sword or Shield by giving you a free Mew and Jirachi early in the game. These games are so amazing and developer ILCA did an excellent job on the games. There is so much content. There’s the Ramanas Park where you can use Mysterious Shards found in the Grand Underground to encounter legendary Pokémon from the first 3 games. The only bad thing about the games (and it doesn’t bother me) is the lack of Pokémon after 2006-07 which is when the original Diamond and Pearl came out. This means that newer favorites like Yamper and Scorbunny are not in the games at the moment. You can catch everything else for a total of 493 Pokémon counting event Pokémon. All and all these aren’t perfect games but they are still very enjoyable.",""
"Pokémon Brilliant Diamond/Shining Pearl","age 8+","Len’s Island Game ReviewLen’s Island Game Release on 26 October 2021",""
"","","","First of all, I’m not a fan of little kids playing tons of video games. But if you’ll allow at least one, allow Pokémon. It’s one of the best, most fun; strategy, brain building, recourse management games around. I remember playing Pokémon as a kid myself and these games are still legendary. I work at a school and the kids love Pokémon. It promotes sportsman ship, positive messages, perseverance, dedication and friendship. I used to live it. Your kids will probably love it too."
"","","","I remember playing this when it first came out in the early 2000s and finding it difficult as a smaller child (I was 7 or 8 I believe). Picking up this remastered version was a great blast from the past and they found several ways to make it easier for young children to play. There’s now XP sharing across the party, you can customize your character, and the menues are easier to navigate. I’d recommend this to any child 8+ as a nice, family friendly turn-based battle game."
"","","","The games are very well made remakes despite what some critics and toxic Pokémon fans say. The games are mostly faithful remakes of the DS games Diamond and Pearl with some much needed improvements to the originals. They also fixed the EXP Share issue where you don’t get as much experience points if you are at a higher level so it’s not as easy to over level like the other Switch Pokémon games. They added a feature from the old DS games Heart Gold and Soul Silver where you can have your favorite Pokémon follow behind you. The Grand Underground fixed the issue of fire type Pokémon being scarce. Once you beat the game and have seen all of the Pokémon, there is a post game where you can battle the gym leaders at much higher levels. And once you capture Giratina and Heatran you can also battle the Pokémon League at very high levels. Champion Cynthia has a team of Pokémon that are all in their 80’s making her final team the strongest in the series and debunking the myth that the games are dumbed down and easy. There is also a way to get the original games music if you want to listen to the old DS music. And the games reward you for playing Let’s Go Pikachu or Eevee and also Sword or Shield by giving you a free Mew and Jirachi early in the game. These games are so amazing and developer ILCA did an excellent job on the games. There is so much content. There’s the Ramanas Park where you can use Mysterious Shards found in the Grand Underground to encounter legendary Pokémon from the first 3 games. The only bad thing about the games (and it doesn’t bother me) is the lack of Pokémon after 2006-07 which is when the original Diamond and Pearl came out. This means that newer favorites like Yamper and Scorbunny are not in the games at the moment. You can catch everything else for a total of 493 Pokémon counting event Pokémon. All and all these aren’t perfect games but they are still very enjoyable."
"","","","Len’s Island Game ReviewLen’s Island Game Release on 26 October 2021"
"Forza Horizon 5","age 10+","",""
"Call of Duty: Vanguard","age 18+","This game can be very violent, and contains many repetitions of swear words that are standard to a Call of Duty campaign. Multiplayer is more tame, and zombies can be frightening to younger children. No sexual content, but there is still a “content filter” as it is called in game, that can be toggled to completely avoid any sexual or “graphic content” which is a staple of these games, which I’m really happy about.",""
"Call of Duty: Vanguard","age 18+","Game can be violent at times, but that’s to be expected from a Cod game. Decent amount of swearing, but that’s limited to campaign. No sexual content at all, unless you are counting the game’s “calling cards” which are only used in multiplayer, can be a bit suggestive, but can be hidden with graphic content filter. Would recommend young kids skip out because of violence.",""
"Call of Duty: Vanguard","age 18+","The game is pretty good but i believe that you should let your kid play this game if they aren't sensitive to gore and are mature for their age.",""
"Call of Duty: Vanguard","age 18+","The gore level is relatively high but appropriate for a WW2 setting. Not as brutal as World at War or Black Ops though. If you've seen Saving Private Ryan or Hacksaw Ridge youll be fine. Theres your dismemberments, heads bursting, fellas cut in half and ample amounts of blood. Flame attacks dont do much body damage tho. But like most COD games there is a toggle off for the violence. Campaign is as basic and soulless as it gets both in level design and story. Zombies is prob the worst ever. I dont care about MP so whatever. Just bring on Modern Warfare 2-II",""
"Call of Duty: Vanguard","age 18+","My 8 year old kid played warzone on his xbox and now really wants this game. I saw the common sense media said and I looked at gameplay. It does not match this game is great for kids.",""
"Call of Duty: Vanguard","age 18+","I love cod and I want to get my 9 year old the new game for his birthday. I wanted to see what csm had to say and they are wrong about cod in general. I am a deep fan of this and I think a kid who has been playing fps games for a while would really like it.",""
