author age,recommended age,review
"Teen, 13 years old",age 8+,"The parents are saying that it is gory and violent. Let me explain.
Firstly, it may get a little unsettling on the first night, when monsters appear, if children do not like the monsters, they can turn it on peaceful mode.
I heard a lot about animal abuse. You are allowed to hit anything in the game, and people kill animals for food in real life, so that really isn't that bad.
There isn't any blood or gore, prior to what Karens have said about fighting the monsters or attacking animals. The ""mobs"" (creatures) will turn a shade of red when attacked, but this is just to signal them being hurt, and it isn't blood.
A mode called ""Creative"" lets you play and fly, and you can't get injured. You have infinite resources. This mode has inspired me so much with some of my houses that I want to be an architect when I'm an adult!
I recommend this game for any tactical or creative child.
*P.S. You can play online in ""Realms"", but the chatboxes are strictly moderated and safe, you can hide said chat, or play offline"
"Kid, 11 years old",age 5+,I see all these parents ranting about how online people are creating inappropriate things and there like “blah blah blah why can’t they just block” that’s hard to do it’s not like they can just press a button and shlabam now everything is censored also I saw a post about a vegan family and the kid ate meat in the game in front of his dad and the dad slapped the controller out of his hand if the kid doesn’t want to be vegan he doesn’t have to be
"Kid, 9 years old",age 5+,great game for kids when in the car
"Kid, 10 years old",age 7+,"Not very much to say but, players can fight kill animals and combat mobs. You can play with people on your wifi. Some kids may be discouraged by how less things you can do than the pc version."
"Kid, 9 years old",age 7+,"It's the best game ever!
The most popular game at school!
You learn to build and survive zombis and spiders and more!
You can play with friends and anyone that has minecraft
Have fun playing
MINECRAFT
The best game in the universe"
"Kid, 11 years old",age 8+,"i love minecraft pocket eddition it is a good game to pass the time away i have a lot of free time since the summer time started and so i play it all the time!
I LOVE MINECRAFT!"
"Kid, 9 years old",age 3+,u should get the pc verison its better gamerquinn is out
"Kid, 11 years old",age 9+,its ok but the pc version us better but it cost 27 dollars the ios version is much cheaper its 7 dollars its ok but yeah pc version is better.
"Kid, 10 years old",age 9+,its awesome im 10 and i love it
"Teen, 13 years old",age 6+,Great for a kid that wants to get into the minecraft games but it is pricey $6.99 + tax
"Kid, 12 years old",age 5+,"It’s a pretty good game that is pretty fun, but gets boring easily. I constantly get bored when playing in survival which they mean to do, because Minecraft is overall a Pay to Win(Or at least to have fun) Game"
"Teen, 13 years old",age 4+,"You should let your child play this game in creative mode, so then they can develop an early understanding of design, geometry, and architecture. Even adults can use this to make drafts of new houses, if their occupation is architecturally related!"
"Kid, 11 years old",age 2+,MINECRAFT IS BETTER THAN REAL LIFE
"Teen, 13 years old",age 5+,"i don't really think it's as bad as most say. animals are OK. zombies that come out at night . normal game stuff. mods can be scary tho. but some times it's educational. but there is a breeding aspect, but its not actual uh s** (child safety i don't use that term.) no real issues other than that."
"Kid, 10 years old",age 5+,The game is so fun! You can play it al day! You can play survival or creative! My favorite is survival! I can build anything I want in the game! :D I think it's appropriate for kids 5 and up!
"Kid, 11 years old",age 7+,Minecraft is one of the best games out there. I use it to play with my cousins who live in another state.
"Teen, 14 years old",age 8+,"I would deffo recommend this to little kids as it can educate them on good building and social skills, I got it when I was 7 and still play it till this day, at 14."
"Kid, 11 years old",age 10+,"Minecraft is a good game! It's really easy to play, you can do whatever with blocks. You can play with other people online, which is fun. It's worth playing!"
"Kid, 9 years old",age 2+,"I said ages 2 an up bc, i mean literally anyone can play! And just bc it has swords and bows doesnt mean it it violent. And if you are a parent worried about chat, if your kid goes into a server it is not like you see the chat you have to go to chat to see the stuff"
"Teen, 17 years old",age 10+,"I watched Jacksepticeyes series on him playing Minecraft (just a heads up parents, he curses a lot) and I got curious and wanted to play the game. So I got on it and started finding ideas for houses, buildings, pools, and other cool stuff. It’s really fun and it’s also fun to play when you’re bored."
"Kid, 10 years old",age 9+,"Minecraft is an amazing game, it's a sandbox game and can be used to unleash kids creativity. I recommend this for kids 9+ due to the game allowing the killing of animals and other players (no blood or gore included.) There are also servers you can play on and they involve public activity with others. Overall, it's a great game for creativity, survival and socialising!"
"Teen, 13 years old",age 18+,
"Teen, 13 years old",age 5+,"I've been playing since i was pretty young, and there's not too much violence in it so i think its a great starter game"
"Teen, 14 years old",age 5+,"-Tiny bit of violence but no gore at all.
-You can die.
-Very fun!"
"Kid, 12 years old",age 5+,"This game is actually really good. You can learn about survival and build and explore the endless world of Minecraft but watch out, there may be monsters lurking around the deep dark caves so get your fighting skills ready!"
"Teen, 14 years old",age 5+,"minecraft is a fun game. It helps build the creativity of people more than any other sandbox game I know . some violence is in the game but most games contain that and no blood or gore is present. the only sign of attacking is the basic red tint that covers all of the creature attacked. pets are also present in the game and can help those who struggle with building in total due to the tons of items that they can choose to build with. you can also name pets so you can have the feel of actually owning the pet. some special names that affect the animal appearance is Jeb_ for sheep Toast for rabbits, and dinner bone for absolutely any animal in the game. I highly recommend this game."
"Teen, 14 years old",age 10+,"Awesome game, but there is griefing, cyberbullying, online play, and kids can build what ever they want. Which should not be for kids younger than 10. But if you're fine with letting your kids play, not my business, it's not like I have been playing since I was 4."
"Kid, 10 years old",age 6+,Good
"Teen, 13 years old",age 2+,"I LOVE MINECRAFT IT IS SO FUN AND ADDICTING AND I WISH I COULD JUMP IN THE GAME AND PLAY IT ON MY OWN WITHOUT MY CONTROLLER ON.
MINECRAFT IS SO MUCH FUN AND FORTNITE IS ASS
EVERYONE SHOULD DOWNLOAD MINECRAFT IT HAS A BUNCH OF FUN STUFF AND IT WILL CURE YOUR BOREDOM you should buy it."
"Teen, 13 years old",age 5+,"omg swords its so scary. No! omg killing animals terrifying and anti-vegan. Wow. Even my parents were misinformed about Minecraft at the start. My dad had it (and still does!) on his PC, and he got it for us on the ipad. It's a fun game, and servers aren't bad because you never see anyone talk about porn or anything. It's a good game, a fun game, and, parents, if you haven't noticed, the majority of players are kids. And don't give me 'different homes have different rules'. No. That's stupid. And if you're so worried, disable their ability to use servers. Or give them Java Edition, which is waaaaaaay easier to use and you can use a child Microsoft account."
"Kid, 10 years old",age 4+,Always let kid play this game. It has an educational mode to educate them. It is fun but not too addictive
"Kid, 10 years old",age 4+,"yes chat is not rated, yes there is killing, yes creepers are making me mad after they explode my diamonds, but its amazing and FUN"
"Kid, 8 years old",age 8+,"All of the game works nice and good,But it can get really laggy sometimes"
"Teen, 14 years old",age 8+,"This game is honestly one of the best, however there are a few drawbacks. First thing Minecraft is an amazing game all the time and it’s very enjoyable with friends there’s no limit to how many people can play in one server there are communities who build servers it is really fun to play. It’s available on 90% of devices Xbox computer Nintendo switch PlayStation Amazon tablets and more. The only thing I see has a problem is that there’s no tagging, usually Minecraft does not target when someone says a bad word there is a problem for younger players if you go into a high pixel game (A very large server with mini games) people will often chat with others, you can say whatever because there’s no tags. The game is honestly really fun and playing it as I’m writing the review there are lots of Minecraft Youtubers who will help your child build things, Minecraft is also really educational to craft Child needs to put certain things together to make things like swords and pickaxes which brings me to my next topic, My craft has a little bit of islands here and there but never overwhelmingly violent you have to protect yourself from monsters are they scary not at all your child should be fine play Minecraft as long as there are a few restrictions otherwise they will be fine"
"Teen, 17 years old",age 8+,"i hate this game my boyfriend and i always have mental breakdowns right after. no this is not a personal issue i literally despise this game mojang lock your doors, hide your children, keep an eye out for selener."
"Kid, 10 years old",age 6+,"Encouraging creativity so much! This game has lived part of my childhood and it's DEFINITELY WORTH THE PURCHASE!! It may get boring for some, or be hard for newbies, but once you get into it it's great! It's a survival game with some fiction, such as the nether realm and the ender realm, and, zombies and monsters at night, but overall it's really nice. 10/10 Would recommend :)
Oh, also, there's creative mode where you can build anything without dying."
"Teen, 13 years old",age 8+,"It's an amazing game, some parents/adults might say there is violence or that being online is too dangerous, in reality no. There is a little concern for kids that are young that play this, and yes there are not a lot of privacy concerns, but if a young child is playing multiplayer with strangers then you don't have worry about them or even monitor them much, but I do think it would be a good thing to educate your child about the dangers of the strangers since there is not a filter for chat. So it is easy to play and has little privacy concerns, 8/10 from personal experience but still pretty nice game definitely recommended it."
"Teen, 13 years old",age 6+,Anyone thinks to bye with that much money it worth it
"Teen, 14 years old",age 3+,"Me and my younger sister have played minecraft (MC) since she was 4 when update aquatic had first came out (we play it on our xbox) It's easy to learn the basics of the game at first and you get better with practice there are servers and multiplayer games to socialize in if your child is younger you can change settings to sensor out words you don't want them reading there are tons of maps, characters, and texture packs in the marketplace and some are free if you don't understand something about the game its very popular and there are tons of videos to help!"
"Teen, 14 years old",age 6+,"Minecraft is a really fun game that is appropriate for anybody to play. There is violence in it, but that is the only thing in it. There is no blood or anything else inappropriate. It is definitely worth buying, because of all the free content available to play on the game. I would recommend using this on a computer, as it gives you access to more stuff for free, but the free stuff on computers can be prone to viruses, escpecially when downloaded from another site."
"Kid, 11 years old",age 2+,"i started watching like stampy and dantdm when i was like 3 or 5 and then i actually got minecraft when i was like 5 or 6 on my tablet. It has like zombies and like skeletons and spiders and stuff and u can die in it but its nothing scary like okay maybe i get scared of the cave noises sometimes.. but thats it. I may scream alot cause somethings trying to uh kill me but THATS JUST ME- you can also play in creative which nothing can attack you and you can build with anything you'd like, theres also survival where you get matierls like wood, stone, iron, etc (which you can still get in creative) but you dont have unlimited blocks and things can attack you. You can also play with friends and i guess thats sorta cool. You can download addons which are like mods but for bedrock edition too so yeah. Theres many versions, theres bedrock, java, pocket edition ( this version ), console ( xbox, play station, nintendo switch, etc. )"
"Kid, 11 years old",age 3+,"This game is AMAZING. It teaches kids to be creative at a young age. Would I recommend single player? Yes. The online community has it’s pros and cons depending on which server you choose. A Christian family-friendly server? Yep. But there are bad ones as well. Great game would recommend single player to ANYONE. Online, well, be careful. 10/10"
"Kid, 9 years old",age 9+,"no blood here, all i can tell just the thing that got hit turns red for a second. well, there still might not be too much of a chat filter as it can still allow some mild profanity like WHAT THE HELL or crap. but swears are filtered so its ok for some older children"
"Kid, 10 years old",age 5+,The best game
"Kid, 11 years old",age 2+,It is very good and encourages creativity. I don't think there is violence . Killing animals to get food or fending of predators is a part of the game. Your kids will have to learn where meat comes from at some point.
"Teen, 13 years old",age 13+,Sallinas
"Teen, 17 years old",age 5+,this game is fun but its really glitchy on a fire kindle its pretty sad
"Teen, 13 years old",age 2+,"This is a good game. Java cost money, so I asked to get it for my b-day. The only violence in this is killing animals for food ( you do this in real life so not that bad), and defending yourself from mobs(zombies,skelitions etc). You can make a house and live a life in this game. Fun for all ages"
"Kid, 12 years old",age 7+,"It's a good game teaching Kids to be creative especially on creative mode. I see why some people call it scary- I admit I've been playing since I was seven and was a bit scared of the spiders and zombies but you can just put it on peaceful. If you don't like the idea of your kids playing with other people, just turn it of in the settings. That isn't hard. It's better then them playing on Roblox. But there's nothing in the game that a normal 7 year old wouldn't be able to handle."
"Teen, 13 years old",age 6+,This game encourages creativity and its'a good game for ages 6 and up.
"Teen, 17 years old",age 4+,"I love Minecraft it is so fun building houses,cooking food,make food,and making friend have fun and play!!"
"Kid, 9 years old",age 8+,"I play this game and I like it a lot, it can be violent though. So basically, if your kid is playing this game in survival then they will have to kill animals to survive, there’s also zombies, creepers, and skeletons that you have to kill because they are basically evil. If you don’t want your kid killing animals then you can turn off mob spawning. (Mobs include pigs, sheep, cows, chickens, etc.) There are also public servers which signed in people can log into, so if you don’t want your kids/kid talking to people then you don’t have to sign in. Also if your signed in you can friend people, but you can only friend them if you’re in a server or you know their username. So if you want it to be on the safe side, put it into peaceful mode with mob spawning off. I personally think there’s nothing wrong with the game, and you shouldn’t worry. But there is also an in-game currency called minecoins that you can use to buy maps, mods (modifications), and texture packs. In the game there are also various ways for you to die, like falling lava, drowning, dying of hunger, etc, etc. And in the game if your in a server you can chat with people."
"Teen, 13 years old",age 7+,"It is a fun game. A lot of people say that it gives you no tutorial or objective. That’s because there really isn’t one. There is a final boss called the Ender dragon, and a lot of people finish the game by defeating it, but you can still build crazy structures and go on epic adventures. I would still like to see some more abilities on lesser known versions, like Pocket Edition or Bedrock."
"Teen, 16 years old",age 16+,
"Kid, 9 years old",age 6+,"this is a kids game as you can see. Some parents think this is bad but its not!
1: don't have blood
2: dosn't have guns and i don't know why you wouldn't want your kids to play something withs guns................WHAT ABOUT NERF GUNS HUH
3: its really fun and minecraft education is were you can ALSO LEARN SOMETHING SO HOW ABOUT DAT HUH
ok u can get guns and blood in mods but why would you want a blood mod??
its fun and i think more people should play it"
"Kid, 11 years old",age 5+,its a really good game but a little violent but still its good. THere is creative mode which you can build lots of fun stuff. But survival is a bit violent. amazing tho
"Kid, 9 years old",age 7+,"I don't play this game at all, but my younger brother plays, and we live under the same roof, so it is kinda hard NOT to know almost everything about it. If you ask me, this game is some what fun and addictive. When my brother first saw the game thumbnail, he begged our parents to buy it for him. When they did, he would always play it. And I said addictive because he would cry if my parents started saying things like, ""you can't play until you do your chores!"" or, ""you can't play until summer!"". But of course, my brother is a nice kid, so he got over it after a few days. BUT STILL, it's a bit of a weird game to me, I don't really understand the concept or anything, but everyone has their own opinions. I also think that if you decide to let your child play, you should still moderate them (mostly if they have online i guess). Overall, the game is appropriate and I would say it's not much to worry about, but still needs some parent supervision."
"Kid, 9 years old",age 3+,"This is a great game with many cool updates and more! It’s available on PC, XBOX, Playstation, iPhone, and more! Highly recommend!"
"Teen, 14 years old",age 7+,"I'm not allowed to play any other games than Minecraft, and I love it! I'm also not allowed to play multiplayer.
Here are my tips for a good Minecraft experience:
1) Begin with peaceful and creative mode, then go to easy and creative, then normal and creative, then hard and creative and so on until you get to survival. That helps you get adjusted to the game.
2) If you don't want any multiplayer, then don't create an account.
3) If you're in survival mode, first thing you should do is to craft a wooden sword and bed. You can then dig underground to create your own home."
"Kid, 12 years old",age 6+,Minecraft is a very fun game for children that also encourages creativity and strategy. In creative you can improve your creativity and build things with almost no limits from amazing structures to complex machinery and in survival you understand basic survival skills more and have to work on your strategy to win. I don't think kids under 6 should play survival though because of the monsters unless volume is off and you're on peaceful or easy mode. Overall really fun game that's definitely worth it to get.
"Kid, 11 years old",age 4+,"trust a review from a kid. A kid that actually played minecraft. Not an adult that barely knows anything about the game but saw their child killing a zombie. Minecraft is a free roam sandbox game about surviving, exploring, fighting and creating. there is mild violence against some blocky zombies and skeletons (not scary at all). creative mode is different to survival since the main focus is building. you can play with your friends in your LAN (local area network) or join a server for which you will require a microsoft account. There is an open chat in servers but it censores out swear words."
"Teen, 13 years old",age 6+,You can also play this game without any monsters or other potentially scary stuff.
"Teen, 15 years old",age 2+,"This game is one of the least violent games I've ever seen. I started playing this game in 2010, so when I was 4 and I loved it. Some people are concerned about killing animals for fun and stuff like that but I did that when I first got it because in a weird way it was satisfying. So if your kids do that then they aren't psychopaths they just find it satisfying. If you think this game is for 10+ then I don't think you realize how violent games can get."
"Teen, 16 years old",age 10+,this game is the best on the computer but it is still very great on all platforms
"Teen, 16 years old",age 2+,"The ESRB sucks, this is not 10.....
any 2 year old can play minecraft, don't blindly follow the ESRB"
"Teen, 13 years old",age 3+,This game was my childhood. This game brings people together to communicate and progress. Children can play together with their friends and there is a lot to happen keeping them engaged in the game. In conclusion this game is great to play with friends and great for kids.
"Teen, 13 years old",age 9+,"In survival mode, you can find monsters, and too survive, you have to either run away, or fight them. To fight them, you can fight with your fists, or make weapons (swords, bow and arrow, ect...). when you finally attack them they turn red (maybe its blood). I don't think fighting would be in a game for younger kids"
"Kid, 12 years old",age 6+,"Minecraft is a block game. It's easy to play and learn, there's no language unless your playing multiplayer and that can easily be turned off in the settings. There is little violence, as enemies and creatures disappear into smoke."
"Kid, 11 years old",age 10+,"Minecraft is one of the best games in my opinion. You can build, survive, play online, and do many other things!! And for the parents who say that this is a bad game, I highly disagree with you. There is NO blood or anything else."
"Kid, 7 years old",age 6+,anyone under 6 will prolly have nightmares (idk) but if its wrong tell da parents my review is wrong. lol
"Kid, 9 years old",age 8+,i don't think kids under 8 get the point of the game they don't get how amazing common sense media say you don't have instructions on your goals but you have achievements but the'r right thats all.
"Kid, 11 years old",age 3+,"Minecraft is a cool voxel based game for many kids and adults. There are pretty much endless possibilities for Minecraft, from building a regular house, to making a big computer program, all with the help of mechanical items. I recommend this game for toddlers, but there are some stuff that some of them might not understand. First is multiplayer. You can have many people in one session in your world. Be careful- there are many toxic people and cyber bullies who could say swears in the chat. To fix this, Bedrock edition should be played, where many swears are blocked. Another problem is real world monetization. Many servers/rooms offer in game items that are overpowered for real currency. To fix this, you should let your kid stick with single player worlds, until they are at least 5-6, where they should understand money and ways to use it. Overall, this game is kid friendly and for all ages."
"Teen, 13 years old",age 2+,"ok i am a noob ngl but it is fun even though i play pocket and x-box 360
but i want people who have never played it to play"
"Teen, 17 years old",age 2+,"Minecraft is a sandbox video game developed by Mojang. The game was created by Markus ""Notch"" Persson in the Java programming language. Following several early test versions, it was released as a paid public alpha for personal computers in 2009 before releasing in November 2011, with Jens Bergensten taking over development. Minecraft has since been ported to several other platforms and is the best-selling video game of all time, with 200 million copies sold and 126 million monthly active users as of 2020.
In Minecraft, players explore a blocky, procedurally-generated 3D world with virtually infinite terrain, and may discover and extract raw materials, craft tools and items, and build structures or earthworks. Depending on game mode, players can fight computer-controlled ""mobs"", as well as cooperate with or compete against other players in the same world. Game modes include a survival mode, in which players must acquire resources to build the world and maintain health, and a creative mode, where players have unlimited resources. Players can modify the game to create new gameplay mechanics, items, and assets.
Minecraft has been critically acclaimed, winning several awards and being cited as one of the greatest video games of all time. Social media, parodies, adaptations, merchandise, and the annual MineCon conventions played large roles in popularizing the game. It has also been used in educational environments, especially in the realm of computing systems, as virtual computers and hardware devices have been built in it. In 2014, Mojang and the Minecraft intellectual property were purchased by Microsoft for US$2.5 billion. A number of spin-off games have also been produced, such as Minecraft: Story Mode, Minecraft Dungeons, and Minecraft Earth.In survival mode, players have to gather natural resources such as wood and stone found in the environment in order to craft certain blocks and items.Depending on the difficulty, monsters spawn in darker areas outside a certain radius of the character, requiring players to build a shelter at night. The mode also has a health bar which is depleted by attacks from mobs, falls, drowning, falling into lava, suffocation, starvation, and other events.[citation needed] Players also have a hunger bar, which must be periodically refilled by eating food in-game, except in peaceful difficulty.[citation needed] If the hunger bar is depleted, automatic healing will stop and eventually health will deplete. Health replenishes when players have a nearly full hunger bar or continuously on peaceful difficulty."
"Teen, 17 years old",age 8+,There's just some minor issues. One issue is that it isn't very popular. I say buy java instead. It has better servers to me. Sure bedrock has lifeboat and hive. But Java has Highpixel. The other issue is that its kinda hard to use during combat. I wish it was more like java and there was this cross in the middle. And if you tap the screen it just hits/mines whatever is at that area. Other than that. Its just great. But it can be buggy at times.
"Teen, 16 years old",age 2+,Come on zombies are scary to much violence ur you kidding. I would give this 1000000000000000000000000000000000 stars if i could my sister started playing this at 4 years old. the legit only thing the be scared of are the cave sounds. that is a hurtful stereotype.
"Teen, 13 years old",age 2+,minecraft good fortnite bad lmao
"Kid, 8 years old",age 3+,i know you think its for 13+ but its actually gots to be 3+ so the learn it best and then they can play it at an older age
"Kid, 11 years old",age 6+,"Minecraft is a great game, but if you don't want your kid playing with strangers, then they can play by themselves.
Sure, you might kill animals, but deal with it. That is how the world works. You an go on creative mode, which is mostly for building and stuff."
"Teen, 13 years old",age 10+,"this is such a good game, younger kids should play on creative mode but kids 11-69 years old should play bedwars on hypixel or sky kingdoms.
I am so good at it and i can god bridge and get like 10000000 cps and fling children into the void so i can win all the games. i am a 69420 star in hypixel and its super fun and i never lose
WARNING: IF U SUCK AT THE GAME DONT PLAY CUZ U CAN RAGE EASILY*"
"Teen, 17 years old",age 18+,hi it pamela
"Kid, 10 years old",age 7+,"I play Minecraft every freaking day. This. Game. Is. THE BEST. EVER. There is so much exploring, and it's not like other video games--it's endless. You don't ""win"" it, you play. There are different game modes: creative, you can fly, get an endless inventory, never die, can breathe underwater, mobs don't hurt you. Adventure, you can't break any block and can't place--you explore. Survival, my personal favorite. You can get hungry, you can die, you can drown--I know that may sound depressing, but sometimes it's not fun in creative mode, without any limits entirely.
Not only kids play Minecraft, adults do too. Youtubers, for example: Eystreem, LazarBeam, Dream, ect."
"Teen, 13 years old",age 6+,"Minecraft is a timeless classic. Placing the player in a randomly generated world, Minecraft forces them to, well, mine and craft to survive. However, it can become repetitive, which is why I rated it 4 stars rather than 5. It is still worth the low price on Mobile devices. The Windows 10 edition is rather pricey though. Although it is generally kid-safe, there are some things that parents may be concerned about. For example, when playing in multiplayer servers, some users may use foul language or discuss innapropriate topics. Some character designs could be slightly scary to younger children who have not been exposed to similar things before."
