label,title_review
a,"Difficult cyber-punk RPG requires brain power and patience. I must say this before anything else: be prepared for a lot of difficulty. Now that that's out of the way, the visuals are impressive, the style is cool, and the story is very fun. The difficulty is a step above most FPS game, but that's what makes it a great game. NEVER OVERRIDE SAVES!! If you're in a fix and you can't go back to a previous location, you will hate yourself, as did I. You have to be both subtle and stealthy. Be nice to people and they may open doors for you, instead of fighting a horde of cops in an enclosed area. Ammo is limited, and while health regenerates, but you have little to start with. There is also quite a bit of violence, including shooting, knocking people out, stabbing and blood (not excessive, but still noticeable) swearing (lots of f-ck, sh-t and damn) and plenty of smoking. There are many references to drugs, drinking, prostitution and porn, although you cannot be involved in any of these other than drinking. Over all, it's very fun, but also slow. You have be playing in two hour slots to feel immersed, but not obsessed. I have not completed the game yet, but it stands at a 7/10: Good. For the time being at least."
a,"Deus Ex My dad let me play this game, and i was pretty surprised he let me. But, the most mature aspect of the story in my opinion, is the story itself. It's a pretty dark future. People are augmented with machines and a terrorist, or extremist group of people called purists are against it. I haven't gotten too far, but i like how you can chose how you go through a mission. The game actually isn't too violent if you chose the stealth approach(Which is what i recommend, this game isn't just going into the enemy territory and shooting everybody, you lose ammo fast and health) A lot of strong language so this game is for mature players. But it's more than just a simple shooter, so consider letting your child try."
a,"Great game,but violent Great but a little violent game. Violence isn't really a issue in this game, there is blood but the kind of blood you would see in a Uncharted or Ghost Recon game. There is language,but not through the whole game, f--k is used a couple times,while bas---d, a**,and sh-t are used are peppered in the game. This game is rated M,but this game shouldn't be played by kids under 14."
s,"One of my faves, just clearing up another stupid error of CSM I pay very close attention to detail, there are ABSOLUTLY NO SEX TOYS LYING AROUND IN BROTHELS. Epic game besides that, every aspect of it amazes me, i even bought it twice for my console and my P.C"
s,"Deus Ex Hookers, strong language, minimal blood, bars, clubs, and gambling, but it's ok in my opinion."
a,"Violent,crude and profane. I got this game last year and still play it now but not frequently like last time.A great game with infinite possibility but just down the violence,down the language and you'll get an even greater game."
a,"Awesome RPG best for teens I have been playing this game like crazy (so i am not done with it yet) The game is amazing but there are a few things i have to tell you about first. This is a game for teenagers and adults the content in this game is not that bad. But the game is hard you have to be a good RPG player to be able to play this right. The story of this game will go over younger kids heads. So if your 9 to 12 year old kid asks you for this because he wants something fun to play say No. Know lets talk about the content in this game. Voilence is not an issue a little blood and gunfights nothing that you won't see in Call of Duty. Drinking and Drugs can be taken by Adam (the guy you play) but they are only things like Asprin,Painkillers,Wine and beer so nothing that big of a deal. Swear words are hear and there but nothing you wouldn't hear in school. Sexual Content is kinda iffy There are prostitutes who say some bad dialogue there are strip clubs and sexual dialogue. But overall Deus Ex is a great game and if you are a serious gamer you should check this out."
a,"Superb RPG with Plenty of Action and Mature Content Deus Ex Human Revolution is an exciting, action-packed role-playing game. The game contains blood mist and stains from fallen enemies. The player is able to use multiple weapons to kill enemies from pistols and SMG's to plasma rifles and grenade launchers. That being said, the player is always given the choice to kill and can play through the entire game without killing anyone (bosses excluded). In fact, players are rewarded for doing so with double XP and an achievment. There is plenty of swearing in the game, including s*it and f*ck. When it comes to the game's sexual content, rest assured the player cannot engage in sexual activity, however you can talk to prostitutes and they say sleazy things such as ""would you like the special, it's worth every penny"" etc. There is a level where you enter the city from the rooftop of a brothel and have to make your way down the floors past pole dancer's and women in skimpy clothing. There has been mention of a sex-toy on a bed in the brothel, i didn't see it, but i don't doubt it's there. The main antagonist Adam Jensen is shown smoking in multiple scenes and can consume alcohol causing the player's vision to blur. Drug consumption could be an issue for some as the player can use hypostim needles and painkiller's to increase health. Overall a great game that is good for mature kids over the age of 15. One of the best games of the decade.
*NOTE* The Australian classification for Deus Ex: Human Revolution is MA15+ for Strong themes, violence and sexual references.
Jester's Rating: 9/10"
a,"Don't bother with this game Lots of violence iin this stupid game. It was horrible. My rating: M for blood, Intense violence, and language."
a,"A fantastic title, but with some considerations. Fantastic game that anybody should get. However there are some pause moments you should know about:
Language is very foul, and I'm don't have the cleanest of tongues. I squirmed at the multiple F-bombs, and the context they used it in. If you child can handle it, then its no problem.
Violence- While there is absolutely no incentive to shoot anything, the same can be said when turned around, as you can shoot almost everybody and everything. I've tried to test how open-world the game is, and it is VERY open world, as you can shoot civilians, hostages, and police- even if it is strongly not recommended. Remember, if your child is very impressionable, the openness violence may be of concern to you.
Sexuality- almost non-existent. Yeah, some scantily-clad women say some, 'sexy' things to you, but it's not that bad. They are referred to as, 'working girls,' and you cannot engage sexual activity with any of them. This is the least of your worries.
Alcohol and drug use- I never really notice it, but you can consume beer and whiskey, and you can see people smoking. No biggie.
Role models- Kind of a karma system here- Adam Jensen can either be a hero, who puts the welfare of others ahead of self, never kills, and prefers to get in and out quietly without being noticed. Or he could go on a murderous rampage, be verbally mean and disconnected to everybody, and likes things violent. The good thing here is the grey -zone that many other karma games leave out. For example, Mr. Jensen here can be stealthy and nice, with a high moral value; BUT he prefers lethal weapons. See what I mean? You can choose how Adam behaves in this world.
Lastly the Story and theme of the overall game is AMAZING! It's a fantastic journey you NEED to experience! It deals with many moral issues, and has tonnes of exposition and story to dive into. You can feel the world around you, how people react to the things that are happening. In short, this game sucks you in and makes you feel like part of this world. You need to buy this game- after considering the above. You won't regret it."
a,"Very Good Game for a Mature Audience I think Common Sense Media was a little too lenient on their review, at least with the language. There are very frequent uses of f--k and s--t during gameplay (from enemies) and during cutscenes (from the main protagonist and others).
Otherwise I think Common Sense Media was accurate. There are bars and clubs in the game and the occupants flirt with each other frequently. And, yes, there are plenty of prostitutes in Human Revolution although in-game they are called 'Working Girls'. They do dress suggestively.
This game allows you to make many of Adam Jensen's (the main protagonist's) decisions for him, so it is largely up to you to decide whether his story is a good message and whether or not he is a good role model.
Overall I feel that Deus Ex: Human Revolution is a very good game for a mature audience."
a,"Good game, gore and language can be turned off. "
s,Amazing game Really great game with levels that excite and are awsome. Some bloody bits with some attacks.
a,"No one under 18 Extreme bloody sci-fi game only for adults.
Extreme Violence
Strong language(f--ker,sh-y,f--k,)"
a,"Thank you for the content and language filter!! This was a great game, I had the content filter on and it was very playable although there is still some questionable language for kids. This game might be ok for 15 and over but only under strict parental supervision to make sure the filter is on."
a,"To Be Honest.... Blood Comes out, Bad Words screaming out of the way, guns blazing.. First of, this is innapopriate for kids under 13, Its a third person shooter, Graphicly Intense, Amazing story... But I don't reccomend this for 13 and under... I don't even let my 9 year old son touch this game nor my 11 year old son too..."
a,"Definitely not for kids War, Drugs, Alien Hordes, Mass Murder of different species. Compared to call of duty a DEVIL game"
a,"this one was the best gears 3 is better than the first two, mainly because the campaign is longer than last time and it has even more insane action and extreme gore than the first two, and also, the big set piece shootout at the hotel at the end set the record for the longest and bloodiest shootout ever, hahahahaha, it lasted for an hour for cryin out loud. BRING ON GEARS 4!!!!!!"
s,"Smooth as Butter Effective use of an aging engine, upgraded to bring the 360 to it's knees. Plays as smooth as butter."
a,"Incredible, the best of the Gears Trilogy After playing the game from start to finish, I would have to say with my honest opinion that the game was absolutely incredible. Though very bloody and gory, just like the two before, Gears Of War 3 comes through and makes it's own name for itself with a fantastic story, brilliant characters and gameplay to match. I do recommend though that parents check out the game first if any of their children, 15 and under, want to play."
a,"LUV THE GAME. But for kids?... well, its rated mature not because of the Age, but because you need to be mentally mature to play it. I guess it really depends on who your kids are. Yeah, you can turn off the blood and gore but do your kids aren't dumb. They know a chainsaw would really decapitate a person. And don't get me wrong I'm a huge fan of the series and its innovative storyline, as well as smart mouth characters like Baird. But if you want to get this for your kids, turn off the strong language and gore when you go to the options menu. Caution, if you have rowdy kids that like fight or throw tantrums don't get it. Lol, it will only make them worse. Otherwise if your kids are well behaved and they aren't easily influenced, than shoot for the moon. But like I said in the title, theres a reason why they say the game is rated for a MATURE audience. Forget the age, it maybe cgi, but it looks real enough that it just might turn your stomach if your not used to seeing gorey movies/games."
a,"Very good game, but executions can be very graphic... Gears of War 3 is a very enjoyable game to play, that is if you are either old enough to purchase it or you are mature enough to handle the amount of violent content. Looking at some other reviews, I noticed that the Lancer chainsaw is mentioned frequently, but having played this game for a good amount of time there are a few other methods of executing characters that may be of interest to parents. Just to name a few other more extreme methods, there is a move were you rip off another player's arm and then beat them with it while blood is flying everywhere. Two other ways involve a bladed bow or gigantic meatcleaver to decapitate another person's head off. Finally, there is an execution were you jam a flamethrower into the enemy's stomach and then cook them from the inside out, while they are screaming from the incineration. Outside of the executions, the shotgun can turn players into chunks of meat if shot at too closely. There is quite a bit of strong language as well. I would say older teens would be fine, but I wouldn't buy or even play this game in front of younger children. As for adults, it is a very enjoyable game, with lots of replay value across the four modes of play. One of the best games I have played in a long time. I would recommend it over both Call of Duty: Modern Warfare 3 and Battlefield 3 as far as shooters go, especially when online as the Gears community is, in general, more mature and not quite as profane as the other two games' communities."
a,"Great sci-fi action game with EXTREME violence and profanity. Gears of War 3 is a great sci-fi action shooter with amazing graphics, yet the violence is extreme and brutal. You use machine guns, pistols, sniper rifles and other explosive devices to kill and dismember the hideous looking alien species, known as the Locusts, with bloody and gory results. You also use a chainsaw on your gun to gorily dispatch your foes at close range and blood graphically spurts on the camera. The profanity is frequent and strong, constant use of f**k, motherf**ker, s**t, and other crude remarks. The intense apocalyptic-like atmosphere which shows other soldiers fighting off the locusts really sets the violent tone in this game. AT LEAST for people 17 and up."
s,fact and fiction. i think yes it is violent but kids nowadays know the difference between fact and fiction.
a,Too dark for kids The game is definitely not for kids. I tested the game at E3 and found that there is a part in the game where you can play the demonic alien creatures and kill humans. I find that a bit dark for some 8 year old to play. I think it says something about our culture; we really are surrounding ourselves with some really dark stuff.
a,"Rip dom Good game, I played the game on hardcore, with the violences and the language trun on , my parents don't care what I play. The campaign is better than the second game and the graphics are more gory than ever. Gears 4 and 5 were shit, so I went back and played this. My dad didn't allowed me to play this game until now. Great game, but just don't buy 4 and 5, just play the first 3, best backward compatible game.
Rip Dom, he was my favourite character in the game, would always revive me when I was about to die in a hard spot in the game."
a,"I love this game I like the feature where you can turn the Languge/cursing &amp; Gore off, my parents let me play this aslong as i keep the Cursing/languge off"
a,good game. this game is great but there is quite a lot of swearing and violence. not for younger children but suitable for children above 11 or secondary school (KS3) age or above.
a,"Gears of war is awsome First of all it is a great game. It has a lot of swearing. So if your kid is mature and you let them see violence and hear bad words a 11 year-old could play it, I started then.The game has a 4 player campaign, the only gears game from 1-4. It has multiplayer mini games including capture the flag, guardian, and the classic gung-ho shooter where you get 1 life and try to obliterate the enemy called warzone, good for quick matches. It has a all new mode called beast mode as well to that hasn't been seen in gears 1 or 2. In this game you play has the locust and can control characters such as tickers, the basic drone, corpser, and the mighty berserker. no lambent unfortunately.KEEP READING IF YOU WANT A SOMEWHAT SPOILER. In the last 2 games the COG's ""gears"" as the soldiers have been battling the locust threat. Not tiny bug like creatures, but rather human like scaly entities lead by their queen. They have been living underground for as long as humans have and have been peaceful until e-day (emergence day). They started attacking about the time a substance that burns well called emulsion and is commonly referred to as ""miracle fuel"". In gears 3 you battle locust like always. However emulsion has a negative side, for some reason it's turning locust into lambent, explosive mutated locust that hate locust too and in several scenes you'll walk on too a battlefield and see them shooting each other. Ever hear the saying the enemy of my enemy is my friend? Not true you can't make a alliance with the lambent or the locust. They will shoot you."
a,"15+ for gore and blood So my mom agreed to the series because of the gore filter and language filter.(Yes it's real) but as I got about 30 minutes into the game and the firefights began to start, I noticed the gore filter doesn't turn off all the gore, only when you shoot enemies. There was one place I went to to pick up a gun and there was a person on the ground with blood near it with no head and a brain on the ground. I thought this was a one time thing but I kept seeing bloody corpses everywhere. For that reason, I sold the game to Gamestop because I don't like violence. The language is not a problem with the filter on but the gore and blood is still a problem. I was disappointed by this game and don't think children under 15 should play this. The most violent thing even with the filter on is the chainsaw aliens part. Even with the filter on, the violence is still there and you can't shield anybody from that. Don't buy this game for young children."
a,Awesome This game is really great. You can turn of filters so younger audience around 9-11 can play like me. If you use filters this would be A Teen rated game.
a,"Excellent but extremely violent game for ages 15+ Gears of War 3 is an excellent but very gory third-person shooter game. The player plays as Marcus Fenix, a man in search of his lost father, and other COGS, people who fight evil alien races known as the Locust and the Lambent.
Violence 10/10: Players will use shotguns, pistols, sniper rifles, mortars, machine guns and swords to kill thousands of alien, and in some modes, human enemies. Blood will visibly be shown when enemies are shot, and blood will begin to stain the walls and floor if the player is shot too many times. Stronger weapons may cause dismemberment if used at close range. Players also have the ability to perform a finishing move when enemies are injured, which may include tearing off limbs, decapitation, torching somebody's insides or crushing skulls. All of this is shown is realistic and graphic detail, but fortunately, this can be filtered out in the options menu.
Language 8/10: Players will hear frequent and sometimes strong language within the game, including f--k, mother f--ker, sh-t, a-shole, a-s, b-tch, h-ll, d-mn, and crap. Like the violence, strong language can be filtered out (I must note that only stronger words like f-ck, sh-t, and b-tch will be filtered, but in rare occasions, one of those words may be slipped.) God's name is used in vain quite a bit. One female character says to a male character that she's going to ""raise his voice an octave,"" which would be considered inappropriate in my family.
Sexual content 2/10: Very little throughout the game. However, there is a scene where there is trading, in which women are included. Also, an alien character, who actually looks very humans, has a tight shirt, making her breasts rather noticable. However, it is not portrayed in a sexual way.
Drugs/alcohol/smoking 1/10: One reference to ""beer,"" but nothing more.
Overall, an excellent game that I would recommend for ages 15+, due to extreme amounts of blood and gore, and frequent and strong language. If you are going to use the filters, I would recommend it for ages 13+."
a,"Great game for kids when gore is turned off Gears of War 3, what an amazing game!
I have finished this game and think it is great, but down to the review.
The game is extremely violent when the mature content is left on, but when the mature content (gore, coarse language) is turned off, then gears of war 3 can be a game that younger kids can enjoy, too. When gore is turned off, then the Halo franchise can be seen as a more violent game. But, if you have no problem with your child playing violent games, then by all means, get them this awesome game!"
a,"16&UP gears 1 2 and 3 are for ages 16 and up, my dad doesn't even let me play he says its way to bloody"
a,"Gears of War 3 This is a very fun game but there is a very realistic blood and gore, including strong language like fu*k, sh*t, son of a bit*h and stuff like that. However in the options menu you can turn the blood and gore and strong language. Then it could probably qualify as a T rated game."
s,good game My 9 year old brother loves this game! doesn't even scare him commonsense media over rates games!! i say 9+
