"selection1_name","selection1_selection2","selection1_selection3"
"age 10+","Yes, Roblox can be a money suck. Yes, Roblox is an online game with player content. Obviously this is going to lead to some more adult themes, but honestly people. I’m eighteen, and not afraid to admit that I’ve been a player since I was around 13 or so. Roblox can teach people to code, it can be a early way for young coders to make money, but even beyond that, the majority of the roblox community is made up of wonderful people. I’ve a lot of online friends (with none of which I ever had a desire to share private details with as a 13 year old or otherwise) that I met on Roblox. And they’ve been nothing but supportive friends, like my own anonymous family. I used to play things like simulators or obbies (a parkour game) and eventually found that a lot of creators make games for role playing in their favorite movie/book/game universes. Most of these roleplay games are not intended for children (depending on what they’re based off of or set in) but have been the reason I found my love and talent for writing. If your child at least has the common sense of a hamster, they won’t exchange private info with random players, not that roblox’s smart censoring systems even allow them to. Some of you say that it doesn’t matter, that they still see adult content. It’s a user run platform. Obviously discretion is advised, as not absolutely everything is going to be contained. Alternatively, you can disable their ability to see or send messages to/from other players and restrict their available games to official roblox created games. I mean come on. What decent parent would allow their children to play some of the few shooters on the platform in the first place? My parents didn’t. Roblox is a safe community made mostly up of great people, which, by nature, is going to have at least a few exploiters and jerks wandering around. Lastly, I see some of you advising people to simply purchase Minecraft for upwards of 25 dollars as an alternative. Need I really remind you that Minecraft has an entire user based game mode dedicated to playing online with strangers that has little to NO CENSORSHIP at all? The four swears Minecraft Multiplayer will censor (IF the server’s creator added such a function) won’t stop your children from exchanging their real names, or their addresses, or prevent one person from calling them stupid. And if your advice was meant in reference of the single player aspect of Minecraft, why did you even bother to allow your kids who have the self directory of a potato to play online user based games at all?","Adult"
"age 7+","ROBLOX Is a awesome gaming website for kids 7 and up.","Adult"
"age 7+","Trust me, I play the game myself and I really enjoy it.
Violence: I will agree, there is some games with guns and knives as well as horror/first person shooter games but they aren't bad, there's no blood or gore and it isn't even all that violent, if you want your kids to not play games involving guns or even weapons, there is plenty other games out there.
Sex: In all of my years of playing this game I have never seen anything worse than one idiot saying ""your mom's gay"" but everybody ignored him, and yes I have played the hospital game that CSM was talking about, and I never ran into anything bad.
Language: actually yes, just about everybody swears and words like ""damn and hell"" aren't censored but everything else is just a bunch of hashtags.
Illegal things: There are some games out there that focus on being criminals but are nothing more than cops vs. Robbers. No drugs, alcohol, or tobacco either.
How good is it: Some of the games are actually Very well made and very well done. I highly recommend you play it on a computer or Xbox though as the mobile version often crashes due to big some games are.
The Games To Play: My favorite games are the following and are all free: Prisoners Life, Work at a pizza place, hide and seek extreme, siren head, and just about any tycoon game.
OVERALL: I would let anyone 7 and up play it and I HIGHLY RECOMMEND IT!","Adult"
"age 9+","ROBLOX is a game that my children love very much. I have a 10 and 12 year old who have been playing for years. I think that the building is a great way for kids to use there imagination, but on the other hand people say really disturbing terms in the chat, I understand that its life and that I have preteens and I should let them do what they think is right at this age but I really think that what people are saying is not good, well for any age! For example, my 12 year old was left logged in and I saw some things under the recently played section and there was games like ""kiss a cute lady"" and that triggered me okay. They already learned about the birds and the bees at school, but I will NOT let a silly game tell them about it because the information is inaccurate and rude. The pros about the game is that parents can set privacy like to block certain words that are rude, and our kids can play good games on there like ""adopt and raise a cute kid"" that is fine and there is other good games.","Adult"
"age 2+","ITS GOOD :D","Adult"
"age 16+","Did any of you actually play the games with your children. The Violence in many of the games is really not appropriate. The Social connections are linking kids to ""Strangers- Pedophiles"" who are grooming them and talking very inappropriately to them. I sat down and played the game with my nephew that was when we chose a weapon and killed the other players. Not a great message for a 7 year old, I do not recommend this site. If anything turn off network connections.","Adult"
"age 6+","im tired of people saying the game is bad.
its an amazing game, if you karens cant handle lego characters falling into pieces, then dont play it.
if you ever encounter a bully, theyre just some little kids taking their rage out on you. just block them
worried about the chat feature? turn it off in settings.
there. your child is set for a safe and fun ROBLOX experience","Adult"
"age 8+","I am a 19 year old security engineer and game engineer and I have been perusing reviews about this game. Many individuals are expressing with respect to it being ""excessively sexual"" and that ROBLOX should be doing something to take care of that. All things considered, they have endeavored to actualise a filter, yes it very well may be skirted and individuals will dependably discover workarounds paying little heed to whatever you do.
With respect to the way that individuals think they are not taking care of the unlawful movement and what not that is led through this application. It's not by any means extremely simple to police a whole network with a large number of dynamic clients currently is it? No, it's certainly feasible but rather it's far-fetched that it would occur. I admire this platform and truly, similar to some other game, the equivalent occurs in Minecraft servers. You will get individuals who are sexual, pedophiles e.t.c on any online platform, not simply ROBLOX.
The way that kids are being presented to illegal acts is definitely not something good , not that I at any point said it was. Anyway I am expressing this is simply being finished by another person with noxious purpose who is obviously making a decent attempt to be entertaining, lethal or evidently attempting to cause devastation. Indeed something that occurs in all platforms.
Since I have been on platforms for example, Steam, I can comprehend the harmfulness that is included with networks and how it could effect individuals. I can comprehend in this circumstance that these acts will have contrary ramifications on kids inside, anyway I don't by and by like the way that individuals guarantee ""ROBLOX IS doing nothing about it"" there's just next to no they can do. In case you're a developer, you may comprehend that there's sure restrictions here.
At any rate, to the central matter. I totally love ROBLOX itself as a platform. It enables me to be uncover my imaginative personality, simple to pick up programming and even opens up profession openings. As somebody who is making over £10,000 off of ROBLOX I can state myself that it can have constructive advantages benefits me massively. My survey generally speaking is that ROBLOX is a splendid platform with an equalisation of pessimism and positivity inside their locale, much the same as most different platforms!","Adult"
"age 9+","Now I don't know what other parents are thinking, saying, and I quote ""Roblox is not for kids"". Here are some reasons it's a great experience for kids!
1. Roblox is free, apart from the UNNECESSARY purchases to customize your character.
2. There are tons of games for your kids to enjoy.
3. Your child can learn coding and more programming and building his own game.
Now let's be honest, they're are a few violent games, but your character always dies with the same screen: A flash of red and then he explodes into BLOCKS, THAT'S RIGHT, BLOCKS. I guess if you find a game you don't want them playing just tell them, the only other problem is the consumerism, but let's be honest, they can just get a Roblox or iTunes or whatever store gift card and buy some robux with THEIR OWN money, again, it's not a big deal.
DON'T LISTEN TO PARENTS SAYING IT'S ""Horrible"" and ""Not for kids'. This game is perfectly safe and fun!","Adult"
"age 8+","It's safe ok. People will say it isn't because they can't parent. Dont want them playing bad games? Tell them not too. If they are being bullied, block that player. Roblox censors bad and inappropriate words which can be bypassed but still. Again, if people are online dating, switch servers or block OR ignore them. Roblox is safe dont listen to people saying it's not safe or Its terrible.","Adult"
"age 18+","","Adult"
"age 8+","Ok, so I am here to clear some things up, because clearly there has been a lot of confusion. So ROBLOX is a very age appropriate game! All the inappropriate stuff is blocked out or reported instantly. ROBLOX has a very good moderation system and most ROBLOX games are appropriate! If you want some games that I can promise you are ok for kids are: Piggy: Piggy is a great game that is not violent at all! I mean sure you get hit with bats but really? Is it really that violent? Arsenal: Ok it is not violent at all! just because it has to do with guns does not mean its violent! Blockate: Blockate is a very good game and does encourages creativity building there own builds! The Blockate team has a bunch of moderators! And have you heard about ROBLOX getting sued? Well they got sued for a dumb reason. So this idiot girl spent 1000 real life dollars on robux because her idiot parents let her have their crdit card number then the idiot parents sued ROBLOX blaming them even though it was their daughters fault. People can be so stupid sometimes. But ROBLOX is a amazing game!","Adult"
"age 14+","My 16 year old daughter goes on this site. She plays “normal” content and I thought it was a safe kids site. So I allowed my 5 year old son to play. All of a sudden I hear swears coming from the computer and I ask my daughter what is up with Roblox. She tells me there is a lot of mature content too. So, I created an account for my son in a restricted mode. Yet, he still has access to violent games all about murdering and torture. I restricted even further and turned off communications but the next time he logged in, it’s as if I hadn’t even blocked anything. I wasn’t aware until he had already played the games for a bit. Now all he talks about is Jeff the Killer, Slenderman, Granny, Piggy, etc. it was my fault for trusting the “security” features. This website is terrible.","Adult"
"age 7+","I purchased Robux for the Adopt Me game for my 10 year old daughter. As soon as she spent the money, every single thing she had vanished. Every pet, everything she had just bought with the money I just put on for her, her fly portion, ride potion, everything. She was absolutely devastated!!! I contacted Robux, who said they do not replace anything. I thought she got hacked at 1st. Now, based on their response, I think they are a scam and they took it all away as soon as we spent money on it, hoping it would force us to re-buy what she lost.","Adult"
"age 15+","My kids requested to download this app and when reviewing I noticed that this app is a portal to a majority of the stuff I have blocked from their devices. They have access to a variety of games, videos and other media platforms that also are poorly monitored and moderated. Users are frequently using inappropriate language and content on this site and it should NOT be rated for kids as young as 10.","Parent"
"age 10+","I love the website!!!","Parent"
"age 18+","DISCLAIMERMYSPACEBARNOWORK
ONCEUPONATIMEINAWORLDCALLEDA""METAVERSE""THEREWASMEANIESANDTHEYBULLYME4YEAROLDCHILDTHEYMEANIESBADGAMEMYSPACEBARNOWORK","Adult"
"age 18+","I saw amogus tycoon and like bro among us has guns and i saw killing and the worst of all I saw a person with stitchface ahhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh I saw among us imposter he had a knife
joke btw i","Adult"
"age 7+","Sorry for any grammar or spelling errors, I do not know much english. My 3 children love playing Roblox after school and on weekends. I myself have tried this platform a few times and created my first account in 2015. You can create models or games, and also play some games you are interested in. Default keyboard controls are easy as long as you know how to use one or play video games with one. Some youtubers base their content on roblox. Many in-game items such as gamepasses, clothes and accessories for your character can only be purchased with the game currency called Robux, which can only be earned by purchasing with real life currency. Players can also chat with people in games, and privately chat with people they add as friends, or followers or just anyone if settings are changed.
I think that not the entire platform is terrible, just some part of the community that makes it look bad today. I’ve seen my kids get harassed online what seems like many times. I myself have also experienced being surrounded by hedgehog hair emo looking legos with fat legs, and very tall ones aswell. But I know that things that are violent in real life such as deaths and fighting are not seen to be violent in Roblox. Deaths are just your character’s body parts dismembering. Not really bloody unless scripted to be violent in a game, which is possible.
The good things I have seen from playing roblox is that you can do many creative and fun things, and that kids can learn from Roblox and enjoy participating in seasonal events and just playing games in general.
Some bad stuff i have seen from roblox is that people can make and use bypassed/inappropriate audios, models and decals (images) by going to the library section of roblox, which has all the decals, audios and models and can either get one and add it to their games or use them in games made by others if possible, or create them ( i don’t know how). And that Roblox’s moderation is not really that neat and offensive or rude phrases, slurs or cuss words can be bypassed by replacing some letters with numbers or symbols, or with another letter that would make the word sound the same as it’s original way of being spelled. Inappropriate sentences, phrases or words can be sensored with the “#” symbol. But sometimes the chat filter gets confused and can sensor a sentence or word that is completely child friendly and isnt rude or offensive at all. Bypassed phrases can get sensored too, but sometimes will not.
Another thing i heard is that scam bots, or roblox accounts that are made for spamming can post links onto comment sections of items or into chats. And those links can lead to scam sites or websites that can grab your personal information. Some promoting free currency (mainly robux), free limited items (accessories or faces that cost a bunch of robux and are labeled as “limited”) or certain items from popular games. These ads can trick players, especially small children, into clicking links and possibly falling for scams or getting personal info stolen.
So I would suggest that parents or siblings that know alot about roblox and its flaws should educate their children/sibling about controls and safety before letting them play roblox for the first time by themselves. Young children should always be aware of dangers on the internet. Not everything will be safe.
After all, I think roblox is a really cool game for youngsters. It’s just that not everything will go well on the platform, and not everything is appropriate although the platform is
meant to be child-friendly. I’ll always let my children play this game in their free time, but will always be aware of safety and privacy.","Adult"
"age 8+","Okay, so Roblox would be good for 8+ depending on maturity, because this game has some sexual content but I think you should just report and leave it alone. They're some people who find cheats to say bad stuff, I would give an example but some kids might be reading. I have a 11,9, and 8 year old who play this and they are really happy. My 11 year old, he develops games a lot and he enjoys it, plus he gets his ""robux"" from people buying stuff from his game. I think he calls it a ""gamepass"".
I would say he should get off but this is a safe way to communicate with friends. I suggest this to kids who are mature and think about they're actions. A lot of parent don't see the truth. I played this with my son and it was really fun. But then I saw people cursing so I told him he cant play anymore. Then he kept asking me to try again. I saw that this game was extremely fun for him and I learned about creating games from him. Just some kids go stealing money from they're parents. I'm not saying all just some.","Adult"
"age 2+","Good Lego game","Adult"
"age 18+","ROBLOX is good for learning. If your child is under at least the age of 13, please use the Privacy Mode. Some members can swear, and spam.","Adult"
"age 16+","Terrible for children. Creator’s should be ashamed of themselves for making this for children.","Adult"
"age 3+","PLay it my dog played it and then the next day he was dancing on the ground and shaking it was really funny I love this game he was like juice wrld","Adult"
"age 12+","My 10 year old son told me all his friends were playing this “Roblox” and asked me if he could make an account then he was playing a game called adopt me then my son got an f in math on ALL OF HIS TESTS AND WORK BEcAUsE HE EITHER DIDN’T DO IT OR WROTE SOMETHING ROASTING HIS TEACHER I checked his iPad to see his most used app and found out he played Roblox for 12 hours he has to read for 3 hours and he goes to bed 2 hours after that he can’t be playing Roblox for that long then after that I checked his Roblox he had a girlfriend and spent 100 dollars on this thing collard robotbuxs and he was messaging people he didn’t know like multiple users and was playing games like mm2 and tower of hell also he played jail break then I looked at what he spent his robotbuxs on and he spent it on stuff like hats and guns and I blocked him from his account until he is 12","Adult"
"age 18+","MY UNVCACCINED BABY GOT DIED WHEN HE PLAYED HIS GEMA","Adult"
"age 18+","this game ruined my sons oof life he died of LIGMA","Adult"
"age 18+","MY SON STAYED IN MY ROOM ALL WEEK I KEPT ON TELL HIM TO EAT BUT HE KEPT ON PLAYING UNTILL INFOUND HIM DED DONT FALL INTO THIS TOXIC COMUNITY HE GOT STUK IN IT!!!11!!!1!","Adult"
"age 2+","Hello you all suck my dad poops on me so hes and now i lost hair please laught dont he said exist and i said no i wont do exist i do exit plz dont laugh i knowi""... you would exsist also i play al fnaf games all night everynight sometimes stay up till 12:AM but also i get hit with cookie if i lose fnaf plz dont kill me but im funny and i play fnaf at school and im not playing fnaf 4 it too scary also i am number 1 om speedrun on fnaf. So one day my dog and i were in bed and i pulled a phone out of his mouth it had around us my dog said ""try it it good"" i put my phone into my dog and started being like among us . I like this place i think brown would be good.","Adult"
"age 18+","My son ate my mum and robbed her and had a party with 18 year old girls and then started dating them and then he got albert out of the basement and a head called felipe and shot me and started swearing and peeing on the kids Life isn't quite what I thought I'd be
When I was a kid on VoIP
I thought when I get older
I'd marry her, I told her
Now I'm 26, and I work in an office
Nine 'til five's not the best, I'll be honest
If I could change a single thing
I'd make it me and not him
He's in your bed, I'm in your Twitch chat
I've got the key and he's just a doormat
And even though he's got social skills
That doesn't mean I can't pay the bills
Anyway, make the most of him
'Cause she moves on pretty bloody quick, oh-oh
Your new boyfriend's an arsehole (woo!)
Yeah, I've met Jared (of course, I've met Jared)
The one who took you away from me
You hit it off instantly
I know, 'cause you won't stop telling me
I've seen his jawline, shoulders, and muscles
Push against his fashion sense
I've thought about what he looks like nude
I'm not gay, though
'Cause she's living the dream (living the dream, living the dream)
Oh, she's living the dream
From back when we were 17
She's living the dream (living the dream, living the dream)
Oh, she's living the dream
From back when we were 17
How on earth could I be saved?
When I'm one click away from insane
I just think that I deserve
A little bit of what I earned
I'm not gonna make another scene
The one I made when I was 23
Means I'm not allowed in Disney World
But he's in your bed, and I'm in your Twitch chat
I've got the key and he's just a doormat
'Cause even though he's got social skills
That doesn't mean I can't pay the bills
Anyway, make the most of him
'Cause she moves on pretty bloody quick, oh-oh
Your new boyfriend's an arsehole
I think about you every day (every day)
So how on earth can I be saved? (Can I be saved?)
I think about him a lot as well (I think about him)
Maybe if he wasn't fine as hell (he's really fine as hell)
'Cause you're beauty
And you're grace (and you're grace)
Your telephone calls are my favourite place
And I want you to notice me
With no restraining order, please (Jason Derulo)
I want you to care
I want to smell your hair","Adult"
"age 6+","Roblox Is A Type Of Sandbox-Ish Game Where You Can Play Online Games That Others Created For The Public. You Can Even Make Your Own Game. The Game Has Some Games For Kids Like Adopt Me! Or Meep City Or Games Not So Much For Kids Like Arsenal Or Phantom Forces. I Just Dont Like Trollers...... Or Lag.","Adult"
"age 4+","I don't know what's up with all these other families saying this is a ""DEMON GAME"", people leave fake reviews saying you cant reset your password (you can, obviously), saying kids learn swearing from the site(all bad words are in hashtags) and also, people get bullied too much (possible).
well, my son + I have a great time playing, there is no blood violence, just simply falling apart, if the language is an issue, just get your son/daughter an xbox to avoid messages/hacks.","Adult"
"age 2+","I am writing to say this: IT'S NOT 2017, PARENTS! Child predators like Euphoros are terminated now. Roblox is CRAZY with the moderation. And almost everything is censored. And Robux Scams are not a thing anymore! And Robux costs money! Oh my god, deal with it! They're like vbucks from fortnite. So, PARENTS, let your child play.(And there's gonna be games with guns,DEAL WITH IT!)","Adult"
"age 8+","I joined roblox in 2016. I'm a kid, I made this account and this review, to try and give a proper review of roblox. First off I will talk about violence, some might think it's too realistic or that it's just violent and it influences the mind of kids. Well, realism is actually a good thing, I think. It's better off to show kids that if they become soldiers they might get shot by a bullet and not respawn. Or.. maybe the kids would have in their mind ""It's cool in the army and movies so much action I like guns haha."" Well better teach them, I guess. Next off- online dating. So many parents talk about online dating on roblox, and, I guess you are guilty for not telling your kid/kids about what strangers can do, their intentions, how to defend, how to understand, kids are always curious so they do the wrong thing to see what happens, because guess what- you don't tell them what happens! Ha, ha, trust me even if we have little bodies we can only evolve our brains learning just like you did when you were little. If you give your phone and location to a stranger of course the stranger will come to your house. If the stranger attacks you defend yourself don't run because it will become worse. So what I'm trying to point out is that you should educate them better not judge us because we're little we still have brains if you don't help us evolve we will do mistakes not knowing because you don't tell us everything lol. Thankfully, I use the internet to find information, not to go on Instagram or whatever website there is with no point just to manipulate you to make you become its slave. Hm.. but how do I know all this HMMMM.. well first off. I joined Roblox, first groups I joined were war groups, immediately earned maturity, I began understanding and guess what it was pretty fun. When the WW2 Community collapsed I was curious about the dark side of roblox. I started looking at them, researching them, just like test bunnies. Lmao. Guess what, most of them may be depressed teenagers, maybe adults or teens with no life, spoiled kids(because you don't tell them what to do clearly) and such. A kid can lie about his/her age and the other can tell things not ""appropiate for their age"" but they still understand it cause guess what even if we have different bodies we're still the same species and it's your job to educate us when you're little and not let us into this madness. Shame on you parents. I had to understand it myself. No one told me. I'm proud I know. Even if I know about bad.","Adult"
"age 9+","Hello, Parents and Children! My name is Connor. I have been playing Roblox for over three years now. Roblox is a massively multiplayer online and game creation system platform that allows users to design their own games and play a wide variety of different types of games created by other users.
By creating a Roblox account you must sign up. By signing up with a account below thirteen years old it will automatically filter inappropriate games that should not be seen by small children.
After you create your account you will be able to:
* Create Games
* Play Games (may be limited if account is younger than thirteen)
* Browse the Catalog (browse from hats to shirts to best fit your character looks!)
* Buy Robux (in-game currency)
If you do have a account younger than thirteen, SafeChat will be enabled. Which will allow them to not see certain messages from other players. Roblox is still trying to fix their filter, but some players may bypass swearing by using exploits (hacks) or adding more letters.
Roblox also added in Parental Controls which allows Parent or Legal Guardians to control their kids behavior. Initially, Roblox is a platform which has many games for children to play. Some games are very inappropriate. These games will be banned and so will the player within hours.
You may also have to teach your kids about scamming methods that other players use. Roblox will not ask you for your password or email and you cannot get free Robux.
If you would like Robux, you will have to buy them from the store.
Another thing that parents may be curious of is the players. Some players can be bullies and say mean things. You can fix this by joining another server or reporting them. Initially, Roblox is a fun community with caring players.
Thank you for reading this review.","Adult"
"age 9+","I give roblox a 5 star rating for a few reasons. This platform, unlike other games, is purely made from the players. So your child can meet thousands of different players and they can collaborate with others in games such as Work at a Pizza Place, or duel it out in a all out battle in Crossroads. Now does this game have blood and death? No and yes. Roblox does not have blood in most games, however your character can die. Do not panic however! Most of the time when you die, it shows your character's body parts coming off, like Legos. Now I will say this, Roblox can have pay to win aspects, s&amp;x, bypassing and privacy concerns, you can disable the chat feature to prevent this. I strongly believe that it is the parent's responsibility to keep their children safe. In this game, your child can show their creativity to world by making a Roblox game! and if they are lucky, they can make real life money! This is why I like Roblox.","Adult"
"age 18+","","Adult"
"age 6+","Well, Roblox is a very good game. it is a game where players can create their worlds and games for others to play. So, you parents who think that Roblox's main theme is violence, one word to describe you, 'Karen' but their customer service is bad. I agree I agree ok. but some of you, I suspect you aren't even parents ok. because I see that some of you can't even spell. So in conclusion, Roblox is a good game for children","Adult"
"age 2+","its great","Adult"
"age 13+","My daughter played this game for just over 2 years. There was a random $200 charge on the account, which the bank resolved thankfully. Instead of Roblox freezing the account and resolving the issue they merely deleted her account without any contact or resolution. 2 days after her account was cancelled they still withdrew $20 monthly subscription fee and refused to refund it. The customer support is awful and they treat you like they are superior to you. Happy to provide the emails and proof of all of this.","Adult"
"age 5+","its great though i don't like that you cant refund the robux but my son likes it.","Adult"
"age 18+","Too Much Swearing My Friend Named AJ Siu Who Just Turned 14 Years Old Not To Mention That It Is A Demon Game It's Worse Than GTA 5 And Shall Be Banned In I As New Mexico","Adult"
"age 18+","","Adult"
"age 10+","Some games have violence, and a lot of Roleplay games play BF/GF. The only good roleplay game here is Bloxburg. They also have a thing called 'robux' that you have to pay for for your kids to get gamepasses and avatar clothes. Recently, I saw people saying 'gay' and other stuff.","Adult"
"age 2+","Hi everyone I was once looking at ratings for Roblox and i said yes to letting my child play, i was watching my kid play and I started playing myself it is suitable for under 10 year old.
The bad comments are NOT true it also is a safe place to play and learn","Adult"
"age 7+","So, in this game, you create an account, then download the client to play games. Most have those images of family such as Adopt Me, but those games can easily be avoided and just go to a cops and robber game, one of which sent Badcc (actually a teen!) to collage via DevEx, using his great coding skills. So this game has influence on the community. And while you have to pay for MOST OF the items, you can get a couple of those and some rThro items for free. Most of the games with violence (Zombie Rush) don’t usually contain blood to keep it from becoming overly suggestive.
Overall, I would prefer ROBLOX to anyone who likes good quality games.
And kids themselves can make games in ROBLOX Studio, and if their game is made well-scripted but not finished, they can sell access for ROBUX, the currency paid for with real money. And they can make products and sell those (along with game passes) for ROBUX.","Adult"
"age 7+","I think this is a good because it can teach you scripting which can get you a job there is a lots of family friendly games and it maders about what game you join in my opinion roblox is a fun game where friends can play fun game and have fun:)","Parent of a 10-year-old"
"age 5+","At its best , ROBLOX has a population of good people. even some games may be a 13+ game but that's fine. But there may be some S.A.P.C .(Safety and privary conerns) incoulding online dating and swearing but thats rare now for some reason and free robux scams. but in whole this devloping platform is for 5+","Adult"
"age 10+","There are many positive aspects to this game; creative for the player and the many different games within this game are inventive, player can create items within the game and make games themselves, the music is good, there are ways for the player to make money and purchase items and has many of the gaming aspects that children seek. Some of the negative aspects are that many of the games involve killing one another with very real sounding guns, it does promote consumerism and since other player can create and share games, inappropriate games will sometimes appear.
One game involved the player using a very real sounding machine gun, on the hunt. The view perspective of the player was through a cloth and to other players it appeared to be a turban. Another game had players with very large penises. My son reported it and that game was gone the next day.","Parent of a 6 and 10-year-old"
"age 8+","Awesome","Parent"
